Customer Number,Loan Reference,Loan Repaid Date,Loan Start Date
1000129084,300000138181,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129085,300000138182,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129086,300000138183,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129087,300000138184,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129089,300000138186,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129090,300000138187,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129092,300000138189,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129095,300000138192,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129098,300000138195,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129101,300000138198,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
